state,city,house_price_per_sqft,number_of_BHKs,school_name,school_email,school_phone_number,college_name,college_email,college_phone_number,weather,temperature,humidity,air_quality,estimated_cost_of_living
Haryana,Narnaul,181.21,2 BHK,JN Tilak Vidyalaya,jntilakvidyalaya@school.edu,9911000000,Kamla Nehru College,kamlanecollege@college.edu,9911000000,Sunny,20.23,40,36,19313
Haryana,Gurgaon,4471.95,2 BHK,'Vasundhara Valley Public School',mail@school.edu,9810000000,Vasundhara Valley College,mail@college.edu,9810000000,Cloudy,17.3,77,45,13352
Haryana,Chandigarh,15.74,4 BHK,"DPS, Noida Extn.",dpsnoida@school.edu,1202000000,Delhi Public School,noida@college.edu,1202000000,Stormy,3.89,72,103,21350
Haryana,Chandigarh,36.55,2 BHK,Govt Sr Sec School Sector 46,gsss46@school.edu,8019000000,Govt University Chandigarh,principal@college.edu,1723000000,Sunny,26.29,59,83,14583
Haryana,Faridabad,93.05,3 BHK,Vidya Mandir School,principal.vidyamandir@school.edu,1245000000,Jamia Millia Islamia,principal@college.edu,1245000000,Sunny,30.6,21,100,31969
Haryana,Gurgaon,152.4,4 BHK,Gyan Jyoti School,gjsthurgo@school.edu,114000000,Career Point College,rj256667@college.edu,114000000,Cloudy,23.3,39,85,30947
Haryana,Gurgaon,6.29,2 BHK,G.D. Goenka World School,gurgaon@school.edu,1245000000,School of Management and Entrepreneurship,school@college.edu,1245000000,Cloudy,29.9,43,181,23422
Haryana,Gurugram,1775000,3,"BGS International School, Gurugram, Gurugram, Gurugram-122002",BGS Inte@gmail.com,7690000134,Sri Krishna Educational Society's Sri Krishna College of Engineering & Technology,Sri Krishn@gmail.com,8467122750,Rain,21,47,45,7930
Haryana,Narnaul,29,3 BHK,Maharshi Dayanand Public School,mdpsnarnaul@school.edu,9819000000,Sri Krishna College,srikrishnacollegenarnaul@college.edu,8395000000,Cloudy,13,78,76,1523
Haryana,Gurgaon,256.58,2 BHK,St. John's International School,gurgaon@school.edu,125000000,"School of Social Sciences, Apeejay Stya University",sss1@college.edu,8449000000,Sunny,35.7,19,122,36120
Haryana,Gurgaon,264.42,2 BHK,St.Joseph's Hr. Sec. School,stjosephs.sangareddy@school.edu,7622000000,St.Joseph's Junior College,stjosephs.junior.college@college.edu,7622000000,Sunny,31.39,25.5,128,20000
Haryana,Gurgaon,6862,3 BHK,St. Mary's Convent High School,stmarysconventschool@school.edu,9648000000,St. Mary's College,stmaryscollege@college.edu,9648000000,Sunny,31.6,35,35,50294
Haryana,Haryana,77,2,"['Govt. Junior High School', 'Govt. S.D.W.P. School', 'Government Senior Sec. School', 'A.R.S. Public School', 'Govt. Sr. Sec. School', 'A.R.S. Public School',",principal@example.com,0,['Govt. College of Education'],,,Light rain,32.8,82,164,69.1
Haryana,Gurugram,133.43,2,"['Ahlcon Public School', 'Billabong High International School', 'BPS Modern School', 'DPS Sushant Lok', 'DPS Sushant Lok One', 'DPS Sushant Lok Two', 'DPS Sushant Lok Three', 'DPS S",corporate@example.com,0,"['Amity University', 'BML Munjal University', 'Galgotia University', 'Galgotias University', 'Galgotias University', 'Galgotias University']",,,broken clouds,31.4,64,93,42.94
Haryana,Haryana,4.2,4,"['Ambika Public School', 'Kendriya Vidyalaya No. 3', 'Kendriya Vidyalaya No. 2', 'Kendriya Vidyalaya No. 1', 'Lotus Public School']",principal@example.com,0,"['Arya Engineering College', 'Arya College of Engineering & IT']",,,mist,22,95,132,893.83
Haryana,Gurugram,2316,3,"['Nalanda World School', 'The Heritage School, Gurugram', 'Radiance World School', 'Sanskriti School', 'Mother's International School', 'The Shri Ram School Aravali', 'The Shri Ram School, Gurugram', 'Vasant Valley",admissions@example.com,0,"['Career Point College', 'D.S.M.A. College', 'Delhi Public School, Gurugram', 'DPS International School', 'DPS International School, Gurgaon', 'Emerging Leaders Academy', 'G. D. Goenka Public School",,,Cloudy,16,63,91,452
Haryana,Gurugram,57.2,3,"['Elementary School',",nullnull@example.com,8000000000,"['Guru Gobind Singh Indraprastha University', 'Dhirubhai Ambani Institute of Information and Communication Technology', 'Jamia Millia Islamia', 'Indian Institute of Technology Delhi', 'Manav Rachna International University', 'Manav Rachna International Institute of",,,scattered clouds,20,42,101,3028
Haryana,Haryana,45,2,"['Saraswati Vidya Mandir', 'CMS Public School', 'St. Mary\'s High School', 'Shri Krishna Public School', 'Mother\'s International School', 'St. Joseph\'s Convent School', 'G.D.Goenka School',",admissions@example.com,0,"['Daulat Ram College for Women', 'Daulat Ram College for Women', 'Govt. College for Girls, Ambala', 'Govt. College for Girls, Ambala', 'Govt. College for Girls, Ambala', 'Govt. College for Girls, Amb",,,Mostly cloudy,32.3,73,100,376
Himachal Pradesh,Shimla,1052,2 BHK,DPS International School,dps.es@school.edu,8096000000,Bangalore Institute of Technology,bangaloreitech@college.edu,8041000000,Sunny,28.6,49,100,46330
Himachal Pradesh,Shimla,121.4,3 BHK,St. Georges School,info@school.edu,8009000000,Himachal Pradesh University,hpu@college.edu,8009000000,Rainy,10,87,92,21200
Himachal Pradesh,Dharamsala,505.11,2 BHK,Yaksha Public School,admissions.yaksha@school.edu,9882000000,St. Edwards College,info@college.edu,9882000000,Sunny,28.73,25,101,23000
Himachal Pradesh,Kangra,110,1 BHK,Kendriya Vidyalaya,principal@school.edu,8007000000,Jawaharlal Nehru Technological University,jntuh@college.edu,8007000000,Cloudy,21.8,66.4,53,46216
Himachal Pradesh,Shimla,1786.666667,3 BHK,New Era High School,nereahigh@school.edu,9490000000,NJR & PATIL COLLEGE OF ENGINEERING,njcpe@college.edu,9762000000,Cloudy,29.9,47,155,13338
Himachal Pradesh,Shimla,26.79,1 BHK,The Doon School,contactus@school.edu,8678000000,St. Bede's College,principal@college.edu,7089000000,Cloudy,29.1,52,67,51600
Himachal Pradesh,Dharamsala,16.68,3 BHK,D.A.V Public School,principal@school.edu,9718000000,St. Xavier's College,principal@college.edu,9718000000,Sunny,28.46,10,100,19550
Himachal Pradesh,Shimla,33.33,1 BHK,New Era Senior Secondary School,newera@school.edu,1123000000,Sri Venkateswara College,principal@college.edu,1123000000,Sunny,34.97,33,15,2576.99
Himachal Pradesh,Shimla,61.69,3 BHK,Sri Aurobindo School Shimla,sriaurobindoschoolshimla@school.edu,9419000000,Sri Aurobindo Institute of Management and Information Science,saaims@college.edu,9816000000,Sunny,32,7,57,52136
Himachal Pradesh,Shimla,978.36,3 BHK,St. Bede's School,stbedesdps@school.edu,1773000000,St. Bede's College,stbedes@college.edu,1773000000,Cloudy,15,99,100,49930
Jammu and Kashmir,Srinagar,1.8,3,Srinagar International School,Srinagar@gmail.com,7690000124,"[{'@type': 'Organization', 'name': 'Himalayan International Institute of Technology'}, {'@type': 'PostalAddress', 'addressLocality': 'Victoria Road', 'addressRegion': 'Jammu and Kashmir', 'postalCode': '190",[{'@type':@gmail.com,8467122740,Clouds,7,36.624,101,3641
Jharkhand,Jamshedpur,9247,1 BHK,Sri Sai Jyothi Senior Secondary School,srisai.jyothi.2011@school.edu,9300000000,Bharathi College of Education,bharathieducation2002@college.edu,7358000000,Sunny,30.49,31,101,15962
Jharkhand,Ranchi,102.53,2 BHK,Little Flower Convent High School,lfc@school.edu,8077000000,S.J.C.C.H.S.,office@college.edu,8077000000,Sunny,30.3,33,11,39500
Jharkhand,Jamshedpur,9197,3 BHK,Holy Spirit Convent School,contactus@school.edu,9138000000,St. Xavier's College,stxavierscollegejamshedpur@college.edu,6576000000,Rainy,26.5,72,137,38569
Karnataka,Bangalore,22.37,2,"[{'School_Name': 'Sahyadri International School', 'Address': 'Rajarajeshwari Nagar, Bangalore', 'State': 'Karnataka', 'City': 'Bangalore', 'Pin_Code': 560098",[{'Schoo@gmail.com,9875642483,"[{'College_Name': 'Rajarajeshwari Medical College and Hospital', 'Address': 'Mysore Road, Bangalore', 'State': 'Karnataka', 'City': 'Bangalore', 'Pin_Code': 560056}]",[{'College@gmail.com,8467122710,Mist,15,90,94,2500
Karnataka,Bidar,6124,2,"Nava-Bharathi Rural High School, Bidar - 585401, Karnataka, India, 585401",Nava-Bha@gmail.com,8564312354,A.V.K. College of Education,A.V.K. Col@gmail.com,7890123465,Haze,34,12,151,1026
Karnataka,Kolhapur,1096,3 BHK,A.B.Patil Vidyalaya,abpatilvidyalaya@school.edu,9553000000,Acharya Vinobha Bhave College of Commerce and Science,abpatilvidyalaya@college.edu,9553000000,Rainy,30,26,20,15000
Karnataka,Bangalore,3.95,3 BHK,Shahaji B Vidyalaya,principal@school.edu,804000000,N.R. School of Architecture and Planning,accounts@college.edu,8022000000,Rainy,26.2,79,107,47550
Karnataka,Mysore,1780,3,"Government High School, K.R. Road, Mysore",Governme@gmail.com,9875642510,"Acharya Institute of Technology, Mysore",Acharya In@gmail.com,8467122737,Clear,32.2,46,43,290.75
Karnataka,Bangalore,4.14,1 BHK,St. Lawrence High School,admin@school.edu,9457000000,Government Polytechnic College,admin@college.edu,9457000000,Sunny,26.4,38,100,3947
Karnataka,Bangalore,64.788,4 BHK,Narayana E-Techno School,admissions@school.edu,8040000000,Narayana E-Techno School,admissions@college.edu,8040000000,Cloudy,18.19,47,16,12612
Karnataka,Bengaluru,2194.8145,2 BHK,Sri Kumaran Childrens Home,skch@school.edu,8885000000,CMS College of Science,admissions@college.edu,8885000000,Sunny,22.2,30,105,21643
Karnataka,Gulbarga,33.97,2 BHK,"DPS, Gurgaon",admin@school.edu,9872000000,"GLA, Gurgaon",admissions@college.edu,9872000000,Sunny,27.3,44,91,26931
Karnataka,Bangalore,372.44,2 BHK,The Doon School,admissions@school.edu,5556000000,St. Stephen's College,admissions@college.edu,1111000000,Cloudy,22.1,76,109,15200
Karnataka,Bangalore,3545.12,3 BHK,Bombay Scottish School,info@school.edu,9821000000,H.R. College of Commerce and Economics,admissions@college.edu,9821000000,Sunny,30,65,151,122864
Karnataka,Bengaluru,1.02,2 BHK,Jawahar Navodaya Vidyalaya,jnvbokaro@school.edu,8280000000,Guru Gobind Singh Indraprastha University,admissions@college.edu,9812000000,Rainy,27.72,80,108,16378
Karnataka,Bengaluru,56.88,3 BHK,St. Xavier's High School,info@school.edu,1243000000,Christ University,admissions@college.edu,8040000000,Sunny,28.3,43,82,40600
Karnataka,Bengaluru,542.24,3 BHK,"D.A.V. Public School, Patiala",webmaster@school.edu,1752000000,Shri Mata Vaishno Devi University,admissions@college.edu,1932000000,Sunny,24.4,29,101,39575
Karnataka,Bengaluru,1993.41,3 BHK,St. Aloysius High School,aloysius@school.edu,9846000000,St. Aloysius College,aloyc@college.edu,9987000000,Sunny,35.5,26,79,48222
Karnataka,Bangalore,38.15,2 BHK,Jawahar Vidyalaya,jv@school.edu,9871000000,Alakh Prakash Goyal Shimla University,apgsu@college.edu,9817000000,Sunny,27.2,49,56,6591
Karnataka,Mysore,412.15,1 BHK,BHAVANS VIDYAMANDIR,bhavans.vmdsg.vadodara@school.edu,9430000000,BHAVANS COLLEGE,bhavans.vmdsg.vadodara@college.edu,9430000000,Sunny,32.2,42,21,15335.5
Karnataka,Bengaluru,67.88,1 BHK,St. Xavier's High School,stxavierhighschool@school.edu,9900000000,Bhavan's College,bhavanscollege@college.edu,0,Rainy,22.9,88,83,13537
Karnataka,Bangalore,19.8,3 BHK,Vidya Soudha Public School,vidyasoudha@school.edu,9194000000,BMS CECE College,bmscececollege@college.edu,9482000000,Sunny,31,39,99,26700
Karnataka,Bengaluru,27.38,2 BHK,Holy Family Convent High School,hfc@school.edu,9654000000,Bhartiya Vidya Bhavan\'s S.M.N. College,bvbsmn@college.edu,9445000000,Sunny,28,27,15,21669
Karnataka,Bengaluru,26.39,2 BHK,MATRITA SCHOOL,info@school.edu,1204000000,"COLLEGE OF EDUCATION, BHADRAK",coe@college.edu,3862000000,Sunny,30.3,79,93,67500
Karnataka,Bangalore,33.8,1 BHK,D.A.V. Public School,school.e.davps.com@school.edu,4132000000,Sri Sri Ravishankar Vidyapeeth,college.e.ssrvp.com@college.edu,4132000000,Cloudy,11.2,75,18,10390
Karnataka,Bangalore,11337,3 BHK,D.A.V. Public School,principal@school.edu,8150000000,Christ University,college@college.edu,8024000000,Sunny,33.2,18,83,48000
Karnataka,Bengaluru,137.12,4 BHK,"King's College, Bangalore",school@school.edu,1244000000,"Birla Institute of Technology and Science, Pilani",college@college.edu,8023000000,Sunny,28,14,85,18760
Karnataka,Bengaluru,108,2 BHK,Sri Krishna Public School,bengaluru@school.edu,9902000000,Karnataka State Open School,college@college.edu,9902000000,Sunny,33.3,30,107,35849
Karnataka,Kolhapur,11.1,1 BHK,DPS Sadhu Vaswani Nagar,dpsnvn@school.edu,2067000000,Dharmaram College,college@college.edu,2223000000,Sunny,32.5,22,67,17242
Karnataka,Bengaluru,276,1 BHK,Fortune Institute of International Business,school@school.edu,9833000000,Fortune Institute of International Business,college@college.edu,9833000000,Cloudy,25,87,91,20790
Karnataka,Bangalore,58.5,2 BHK,Vibgyor High,contact@school.edu,9483000000,St Joseph's College,contact@college.edu,9483000000,Sunny,35.3,43,101,24000
Karnataka,Kalaburagi,82.25,2 BHK,DPS R.K. Puram,dps.principal@school.edu,1127000000,Delhi Public School,dps.principal@college.edu,1127000000,Sunny,33.9,26,103,31600
Karnataka,Bengaluru,119.51,3 BHK,DPS International School,dpsi@school.edu,7336000000,DPS International School,dpsi@college.edu,7336000000,Cloudy,25,74,101,119363
Karnataka,Bengaluru,121,2 BHK,DPS Patna Bihar,dpspatna@school.edu,7795000000,DPS Patna Bihar,dpspatna@college.edu,7795000000,Sunny,34.3,27,125,40000
Karnataka,Bengaluru,22.98,3 BHK,Lighthouse World School,enquiry@school.edu,7869000000,S.S.R.M. College of Engineering,enquiry@college.edu,7869000000,Sunny,35,51,123,8590
Karnataka,Bengaluru,1.57,1 BHK,Prestige international School,pri@school.edu,8022000000,BMS College of Engineering,enquiry@college.edu,8022000000,Rainy,23.4,54,96,26382
Karnataka,Bengaluru,2640,2,NSN School,NSN Scho@gmail.com,7690000130,Federal Institute of Science and Technology (Karnataka),Federal In@gmail.com,8467122746,Clear,27,9,62,1297
Karnataka,Bangalore,6728,2 BHK,St. Joseph's Boys' High School,stjosephsboyskhightschool@school.edu,8026000000,Government Law College,glc@college.edu,8023000000,Sunny,31.62,24,61,46970
Karnataka,Bangalore,8500,4,School Name,School N@gmail.com,7690000126,Government College of Engineering,Government@gmail.com,8467122742,Clear,28.7,30.5,54,2269
Karnataka,Hubli-Dharwad,115,2 BHK,Shastri Nagar School,shastri.nagar.schoo@school.edu,9764000000,Govind Ram College,grc@college.edu,1130000000,Rainy,19,75,138,48346
Karnataka,Bengaluru,201.9,1 BHK,Kendriya Vidyalaya 109,principal@school.edu,1147000000,Indira Gandhi National Open University,ignoaopenuniversity@college.edu,1130000000,Rainy,22.2,67,140,24000
Karnataka,Mysore,3000,1 BHK,Karnataka Primary School,info@school.edu,7677000000,Karnataka College,info@college.edu,7677000000,Cloudy,20,100,102,12964
Karnataka,Bengaluru,36.07,2 BHK,St Joseph's Indian High School,info@school.edu,4033000000,St. Joseph's College of Commerce,info@college.edu,4033000000,Cloudy,26.81,34,100,22450
Karnataka,Bengaluru,7821.81,3 BHK,St. Paul's High School,bangalore.sphs@school.edu,8041000000,SJB Institute of Technology,info@college.edu,8041000000,Sunny,29.9,53,87,25890
Karnataka,Bengaluru,10.3,3 BHK,Santosh Vidya Vihar,info@school.edu,8042000000,Sahyadri College of Engineering and Management,info@college.edu,8041000000,Sunny,29.1,67.04,86,24775
Karnataka,Bengaluru,45.15,3 BHK,BGS International Public School,bgsipsbeng@school.edu,7229000000,Apex College,info@college.edu,8041000000,Sunny,31.7,69,108,23700
Karnataka,Bangalore,158,4 BHK,South Point High School,southpointbschool@school.edu,7003000000,The Oxford School,info@college.edu,9664000000,Sunny,34.1,38,86,19540
Karnataka,Bengaluru,117.33,3 BHK,Bangalore International School,bangalore@school.edu,9687000000,The Bangalore International School,info@college.edu,8042000000,Sunny,31,39,50,14000
Karnataka,Bengaluru,103.94,3 BHK,DPS International School,dpsisgurgaon@school.edu,7349000000,Sharda University,info@college.edu,8801000000,Rainy,30.5,48,105,150000
Karnataka,Bengaluru,65.27,3 BHK,Rajkumar College,rajkumarcollege@school.edu,1800000000,Rajkumar College,info@college.edu,9800000000,Cloudy,23.4,100,102,11786
Karnataka,Bangalore,286.02,3 BHK,Kent School,admin@school.edu,9877000000,Dharamsinh Desai University,info@college.edu,9877000000,Sunny,39.49,28,125,14745
Karnataka,Bengaluru,117.43,2 BHK,Saket Public School,schoolname@school.edu,9900000000,Indraprastha Institute of Information Technology Delhi,institute@college.edu,9900000000,Rainy,23.1,92,144,30516
Karnataka,Bangalore,114,3 BHK,Jawahar Navodaya Vidyalaya,jnvbhiwani@school.edu,1800000000,Jawaharlal Nehru Memorial College,jawaharlalnehrumemorialcollege2013@college.edu,1800000000,Stormy,11.4,92,121,4171
Karnataka,Bengaluru,22.9,3 BHK,St. Francis High School,principal@school.edu,8889000000,Jaypee Institute of Information Technology,jaypeeinform.edu.in@college.edu,8889000000,Rainy,26.8,53,118,1091
Karnataka,Belagavi,101.92,3 BHK,Jain Vidya Bhavan High School,jainvidyabhavan@school.edu,8377000000,Smt. Jijamata.S.D.K.M.College of Education,jijamata.sdkmcollegeofeducation@college.edu,9481000000,Sunny,35,31,63,29749
Karnataka,Bangalore,11.1,2 BHK,JNTUH College of Engineering,jntuhce@school.edu,9989000000,JNTUH College Of Engineering,jntuhcoe@college.edu,9989000000,Cloudy,28.75,59,121,68800
Karnataka,Bangalore,635000,2,Cambridge High School,Cambridg@gmail.com,7849672102,"Karnataka College of Arts, Commerce and Science",Karnataka @gmail.com,9778632511,mist,17.7,91,80,65000
Karnataka,Bengaluru,47.52,3 BHK,School of Engineering,principal@school.edu,8346000000,Kempegowda Institute of Medical Sciences,kims@college.edu,8024000000,Sunny,27.8,30,77,74300
Karnataka,Bengaluru,139,1 BHK,Seshasayee Memorial School,info@school.edu,9887000000,Karnataka College of Engineering,kkce@college.edu,9887000000,Cloudy,25.66,51,96,7142
Karnataka,Bangalore,10630,3,Vydehi School Of Excellence,Vydehi S@gmail.com,9875642490,KLE Technological University,KLE Techno@gmail.com,8467122717,Clear,34,31,12,989
Karnataka,Bengaluru,12460,3 BHK,Delhi Public School,dpsgh@school.edu,4023000000,Krishna College of Engineering,krishnacollegeofengineering@college.edu,4023000000,Rainy,34.3,65,21,24322
Karnataka,Gulbarga,121.17,1 BHK,Zilla Parishad Primary School,zpgschoolgulbargamail.gov.in@school.edu,9482000000,Karnataka State Law College,kslawcollegegulbargamail.gov.in@college.edu,9972000000,Stormy,29.9,66,154,9700
Karnataka,Bengaluru,889.57,3 BHK,RK Puram Public School,rkpurampublicschool@school.edu,8010000000,Lady Shri Ram College for Women,lsr@college.edu,1127000000,Rainy,16.7,50,97,14056
Karnataka,Kalaburagi,69.95,3 BHK,Sri Jaya Chamaraja College of Engineering & Technology,principals@school.edu,7341000000,Jain College of Engineering and Technology,manager@college.edu,6310000000,Sunny,33.75,38,163,56500
Karnataka,Bengaluru,106.51,3 BHK,Jawahar Navodaya Vidyalaya,jnvkumta@school.edu,8455000000,Mangalore University,mvu@college.edu,8242000000,Sunny,33,13,12,38326
Karnataka,Bangalore,74.49,3 BHK,Greenwood High International School,greenwoodhigh@school.edu,4032000000,Nirma Institute of Technology,nit@college.edu,7924000000,Sunny,35.6,2,66,13999
Karnataka,Mysore,1787.76,2 BHK,RKM Vivekananda Vidyapeeth,principal.rkvv@school.edu,3334000000,Ramakrishna Mission Vivekananda University,principal.rkmvu@college.edu,3334000000,Sunny,26,66,36,19541
Karnataka,Bengaluru,46.47,2 BHK,Vidhyapeeth,principal@school.edu,7338000000,Jain College,principal@college.edu,8074000000,Rainy,22.8,67,95,36960
Karnataka,Bangalore,12.519,2 BHK,Vidyashilp Academy,principal@school.edu,8041000000,Acharya Institute of Technology,principal@college.edu,8023000000,Rainy,27,79,51,33900
Karnataka,Bengaluru,104.11,1 BHK,St. Mary's High School,principal@school.edu,9877000000,St. Mary's College,principal@college.edu,9877000000,Cloudy,28.3,63,15,1732
Karnataka,Bangalore,23.21,3 BHK,The Heritage School,heritage.bangalore@school.edu,9539000000,Mount Carmel College,principal@college.edu,8023000000,Cloudy,22,64,128,33064
Karnataka,Mysuru,2000,1 BHK,D A V Public School,principal@school.edu,120000000,Vivekananda Institute of Technology,principal@college.edu,120000000,Rainy,14.5,80,99,24964
Karnataka,Bangalore,3998,1 BHK,Government Primary School,principal@school.edu,8010000000,Pune College of Engineering,principal@college.edu,8010000000,Sunny,34.1,19,53,21666
Karnataka,Bangalore,27,3 BHK,Kendriya Vidyalaya No.1,principal@school.edu,8056000000,St. Marry's College,principal@college.edu,8056000000,Cloudy,27.9,28,39,16000
Karnataka,Bengaluru,12000,1 BHK,Sukriti Public School,info@school.edu,8169000000,PSG College of Technology,psgct@college.edu,8218000000,Rainy,29.3,67,88,10808
Karnataka,Bengaluru,1670,3 BHK,Punjab Public School(2),punjabpublicschool2@school.edu,9814000000,Punjab Public School,punjabpublicschool2college@college.edu,9814000000,Cloudy,35,48,180,83711
Karnataka,Hubli-Dharwad,168.11,3 BHK,Boccacio,principal@school.edu,7093000000,Rani Seethai Ammal College,rsac@college.edu,7093000000,Cloudy,30.8,55,131,24600
Karnataka,Mysore,123.21,2 BHK,North point school,northpointschoolmysore@school.edu,8212000000,SAHASRALAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,sahasralayacollegeofengineeringandtechnology@college.edu,9886000000,Cloudy,17.3,96,31,52600
Karnataka,Bengaluru,45,3 BHK,Cambridge School,mail@school.edu,7339000000,St. Joseph's College of Commerce,sjc@college.edu,7331000000,Cloudy,25,52,82,44600
Karnataka,Mysuru,192.24,3 BHK,Government High School,school@school.edu,8004000000,Sri Jayachamarajendra College of Engineering,sjce@college.edu,8023000000,Sunny,25.35,11,40,21836
Karnataka,Hubli - Dharwad,1700,2,SRI SATYA SAI NIKETAN,SRI SATY@gmail.com,9875642464,Smt. C. G. R. B. College,Smt. C. G.@gmail.com,7890123476,Overcast,26.1,94,78,1130
Karnataka,Bengaluru,10243.32,2 BHK,Presidium School,admissions@school.edu,7043000000,Sardar Patel Institute of Technology,spit@college.edu,7043000000,Sunny,35,44,1,40000
Karnataka,Karwar,19.5,3,"Ambedkar Vidyalaya, Karwar, +919632925441",Ambedkar@gmail.com,9875642484,"St. Aloysius College, Karwar, 9449292958",St. Aloysi@gmail.com,8467122711,Clouds,30,75,100,3100
Karnataka,'Mangalore(Bengaluru)',28.8,3,"'Saraswathi Mount Higher Secondary School, Mangalore, Mangalore, 575002'",'Saraswa@gmail.com,9875642489,"St. Aloysius College (Autonomous), Mangalore, Mangalore, 575002",St. Aloysi@gmail.com,8467122716,Sunny,26.623,70,22,1835
Karnataka,Bangalore,4.85,2 BHK,Premier Public School,info@school.edu,948000000,St. Agnes College,st.agnes@college.edu,8243000000,Sunny,31,32,59,49462
Karnataka,Bengaluru,118.16,3 BHK,St. Michael's School,stmichaels@school.edu,4713000000,St. Xavier's College,stxaviers@college.edu,4713000000,Sunny,32.64,25,53,32020
Karnataka,Mysuru,141.51,2 BHK,Pearl City Convent Pre-School,pearlcityconventmysore@school.edu,9742000000,Vishweshwaraya College of Engineering,vce@college.edu,8224000000,Cloudy,31.5,46,100,21420
Karnataka,Bangalore,81.25,4,"['Anjuman-E-Islam High School,','Asha School Of Excellence,','Baldwin Boys High School,','Carmel School,','Government Higher Primary School,','Government Higher Primary School,','Government Higher Primary School,','G",principal@example.com,0,"['Christ University,','Dayananda Sagar College of Engineering,','Government College of Engineering,','Indian Institute of Science,','Indian Institute of Management Bangalore,','International Institute of Information Technology Bangalore,','Jain University,','National Institute of Engineering,','National",,,Few clouds,26.4,68,78,96.6
Karnataka,Bangalore,2.98,2,"['Bangalore International School', 'Aster Public School', 'Aster Public School', 'Aster Public School', 'Aster Public School', 'Royal Concorde School']",contact@example.com,8000000000,"['Christ University', 'Christ University', 'Christ University', 'Christ University', 'Christ University', 'Christ University']",,,Moderate rain,28.8,90,103,113.69
Karnataka,Bangalore,1.17,3,"['Open School, Karnataka', 'Pace School', 'Mother's Pride Schools', 'St. John's School', 'Ebenezer International School', 'Global Indian International School', 'The Achievers School', 'Bradfield School', 'Sakhi School,",principal@example.com,9000000000,"['Manipal Institute of Technology', 'Manipal Institute of Technology', 'Manipal Institute of Technology', 'Manipal Institute of Technology', 'Manipal Institute of Technology', 'Manipal Institute of Technology', 'Manipal Institute of Technology', 'Manipal Institute of Technology',",,,fair,30.125,45,62,2011
Karnataka,Bangalore,71,4,"['Bridge School', 'Old Tennis Court School', 'Bangalore Public School', 'Kendriya Vidyalaya Ooty', 'Little Angels Montessori House', 'Bangalore International School', 'Rainbow International School', 'Vidya Niket",noreply@example.com,2000000000,"['MS Ramaiah Institute of Technology', 'Bangalore Institute of Technology', 'Bangalore Medical College and Research Institute', 'JSS Academy of Technical Education', 'National Institute of Mental Health and Neurosciences', 'St. Joseph\'s College of Commerce', 'Sri Jay",,,Fair,31,18,101,123
Karnataka,Bangalore,2.75,2,"['B.K.Birla Centre for Education, Bangalore', 'RN Birla High School, Bangalore', 'Bangalore Public School, Bangalore', 'The Beacon High, Bangalore', 'DPS Bangalore North', 'Inventure Academy",college@example.com,0,"['DY Patil College of Engg, Bangalore', 'MS Ramaiah Institute of Technology, Bangalore', 'ITM University, Bangalore', 'Ramaiah University of Applied Sciences, Bangalore', 'BMS College of Engineering, Bangalore', 'M S",,,Clear,24,57,49,433.88
Kerala,Thiruvananthapuram,477.26,3 BHK,D.A.V. Public Senior Secondary School,school@school.edu,8288000000,St. Joseph's College of Commerce,admission@college.edu,8049000000,Sunny,11.5,89,91,10153
Kerala,Kochi,129,4 BHK,St. Mary's Convent School,admissions@school.edu,0,"Government College of Arts, Science and Commerce",admissions@college.edu,7000000000,Rainy,27.4,25,101,43835
Kerala,Trivandrum,22,4 BHK,Apeejay School,school@school.edu,8168000000,APTECH INSTITUTE OF DIGITAL TRAINING,aipld@college.edu,8041000000,Sunny,33.5,29,50,42330
Kerala,Thiruvananthapuram,37.8085,1 BHK,Government Higher Secondary School,govtschool1295@school.edu,9896000000,Athulya School of Management,asmschool@college.edu,9947000000,Sunny,28.9,57,94,2663
Kerala,Thiruvananthapuram,22.64,3 BHK,Government School,epi.admins@school.edu,8899000000,Government College,college.admins@college.edu,8899000000,Cloudy,21.28,79,79,3378
Kerala,Kochi,1.9,1 BHK,Santa Maria School,sms@school.edu,8800000000,S.V.P.M. College of Commerce,college@college.edu,8800000000,Cloudy,31.1,82,51,19653
Kerala,Kochi,42.9,2 BHK,Cambridge School,cambridge.schools@school.edu,9561000000,D Y Patil College Of Architecture,dypatilcollege.arch@college.edu,9891000000,Cloudy,26.5,53,101,28780
Kerala,Thiruvananthapuram,36.56,2 BHK,Krishna School,krishnashool@school.edu,7829000000,Bharathiar University,faculty@college.edu,7829000000,Sunny,27.84,17.1,36,443.97
Kerala,Kochi,6.99,2 BHK,Gems Residential School,gemsresidentialschoold@school.edu,8089000000,Gopalan College of Engineering,gce@college.edu,4842000000,Cloudy,26.9,96.8,99,33662
Kerala,Kozhikode,649000,1,"Thalasserry School, Address: Kozhikode-Thalassery Road, Thalassery, Kozhikode, Kerala 670101, Phone: 0497-2563568, Email: thal",Thalasse@gmail.com,9875642474,"Government Polytechnic College, Kozhikode, Address: College Rd, Kozhikode, Kerala 673016, Phone: 0495-3006220, Email: principal@gpckozhikode.org",Government@gmail.com,9123456788,Sunny,32,66,29,163
